Sender_Country;Country_risk;Bene_Country;Country_risk2
AFGHANISTAN;High;AFGHANISTAN;High
ALBANIA;Medium;ALBANIA;Medium
ALGERIA;High;ALGERIA;High
AMERICAN-SAMOA;Medium;AMERICAN-SAMOA;Medium
ANDORRA;Low;ANDORRA;Low
ANGOLA;High;ANGOLA;High
ANGUILLA;High;ANGUILLA;High
ANTIGUA-BARBUDA;High;ANTIGUA-BARBUDA;High
ARGENTINA;Low;ARGENTINA;Low
ARMENIA;Medium;ARMENIA;Medium
ARUBA;High;ARUBA;High
AUSTRALIA;Low;AUSTRALIA;Low
AUSTRIA;Low;AUSTRIA;Low
AZERBAIJAN;Medium;AZERBAIJAN;Medium
BAHAMAS;High;BAHAMAS;High
BAHRAIN;High;BAHRAIN;High
BANGLADESH;Medium;BANGLADESH;Medium
BARBADOS;High;BARBADOS;High
BELARUS;High;BELARUS;High
BELGIUM;Low;BELGIUM;Low
BELIZE;High;BELIZE;High
BENIN;High;BENIN;High
BERMUDA;High;BERMUDA;High
BHUTAN;High;BHUTAN;High
BOLIVIA;Medium;BOLIVIA;Medium
BONAIRE;High;BONAIRE;High
BOSNIA-AND-HERZEGOVINA;Medium;BOSNIA-AND-HERZEGOVINA;Medium
BOTSWANA;High;BOTSWANA;High
BRAZIL;High;BRAZIL;High
BRITISH-INDIAN-OCEAN-TERRITORY;High;BRITISH-INDIAN-OCEAN-TERRITORY;High
BURKINA-FASO;High;BURKINA-FASO;High
BURUNDI;High;BURUNDI;High
CABO-VERDE;High;CABO-VERDE;High
CAMBODIA;High;CAMBODIA;High
CAMEROON;High;CAMEROON;High
CANADA;Low;CANADA;Low
CAYMAN-ISLANDS;High;CAYMAN-ISLANDS;High
CENTRAL-AFRICAN-REPUBLIC;High;CENTRAL-AFRICAN-REPUBLIC;High
CHAD;High;CHAD;High
CHILE;Low;CHILE;Low
CHINA;High;CHINA;High
COLOMBIA;High;COLOMBIA;High
COMOROS;High;COMOROS;High
CONGO-DEM-REP;High;CONGO-DEM-REP;High
CONGO-REP;High;CONGO-REP;High
COOK-ISLANDS;High;COOK-ISLANDS;High
COSTA-RICA;Medium;COSTA-RICA;Medium
COTE-DIVOIRE;High;COTE-DIVOIRE;High
CROATIA;Low;CROATIA;Low
CUBA;High;CUBA;High
CURACAO;High;CURACAO;High
CZECH-REPUBLIC;Low;CZECH-REPUBLIC;Low
DENMARK;Low;DENMARK;Low
DJIBOUTI;High;DJIBOUTI;High
DOMINICA;High;DOMINICA;High
DOMINICAN-REPUBLIC;Medium;DOMINICAN-REPUBLIC;Medium
ECUADOR;Medium;ECUADOR;Medium
EGYPT;High;EGYPT;High
EL-SALVADOR;High;EL-SALVADOR;High
EQUATORIAL-GUINEA;High;EQUATORIAL-GUINEA;High
ERITREA;High;ERITREA;High
ESTONIA;Low;ESTONIA;Low
ETHIOPIA;High;ETHIOPIA;High
FALKLAND-ISLANDS;High;FALKLAND-ISLANDS;High
FAROE-ISLANDS;Low;FAROE-ISLANDS;Low
FIJI;High;FIJI;High
FINLAND;Low;FINLAND;Low
FRANCE;Low;FRANCE;Low
FRENCH-GUIANA;Medium;FRENCH-GUIANA;Medium
FRENCH-POLYNESIA;Medium;FRENCH-POLYNESIA;Medium
GABON;High;GABON;High
GAMBIA;High;GAMBIA;High
GEORGIA;Medium;GEORGIA;Medium
GERMANY;Low;GERMANY;Low
GHANA;High;GHANA;High
GIBRALTAR;High;GIBRALTAR;High
GREECE;Low;GREECE;Low
GREENLAND;Medium;GREENLAND;Medium
GRENADA;High;GRENADA;High
GUADELOUPE;High;GUADELOUPE;High
GUAM;High;GUAM;High
GUATEMALA;High;GUATEMALA;High
GUERNSEY;High;GUERNSEY;High
GUINEA;High;GUINEA;High
GUINEA-BISSAU;High;GUINEA-BISSAU;High
GUYANA;High;GUYANA;High
HAITI;High;HAITI;High
HONDURAS;High;HONDURAS;High
HONG-KONG;High;HONG-KONG;High
HUNGARY;Low;HUNGARY;Low
ICELAND;Low;ICELAND;Low
INDIA;High;INDIA;High
INDONESIA;High;INDONESIA;High
IRAN;High;IRAN;High
IRAQ;High;IRAQ;High
IRELAND;Low;IRELAND;Low
ISLE-OF-MAN;High;ISLE-OF-MAN;High
ISRAEL;Low;ISRAEL;Low
ITALY;Low;ITALY;Low
JAMAICA;High;JAMAICA;High
JAPAN;Low;JAPAN;Low
JERSEY;High;JERSEY;High
JORDAN;High;JORDAN;High
KAZAKHSTAN;High;KAZAKHSTAN;High
KENYA;High;KENYA;High
KIRIBATI;High;KIRIBATI;High
KUWAIT;Medium;KUWAIT;Medium
KYRGYZSTAN;High;KYRGYZSTAN;High
LAOS;High;LAOS;High
LATVIA;Low;LATVIA;Low
LEBANON;High;LEBANON;High
